Pfam_ID	Description
PF01234	NNMT/PNMT/TEMT family
PF01235	Sodium:alanine symporter family
PF01237	Oxysterol-binding protein
PF01238	Phosphomannose isomerase type I
PF01239	Protein prenyltransferase alpha subunit repeat
PF01243	Pyridoxamine 5'-phosphate oxidase
PF01244	Membrane dipeptidase (Peptidase family M19)
PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF01253	Translation initiation factor SUI1
PF01259	SAICAR synthetase
PF01261	Xylose isomerase-like TIM barrel
PF01262	Alanine dehydrogenase/PNT, C-terminal domain
PF01264	Chorismate synthase
PF01266	FAD dependent oxidoreductase
PF01267	F-actin capping protein alpha subunit
PF01268	Formate--tetrahydrofolate ligase
PF01272	Transcription elongation factor, GreA/GreB, C-term
PF01274	Malate synthase
PF01276	Orn/Lys/Arg decarboxylase, major domain
PF01284	Membrane-associating domain
PF01286	XPA protein N-terminal
PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
PF01289	Thiol-activated cytolysin
PF01293	Phosphoenolpyruvate carboxykinase
PF01295	Adenylate cyclase, class-I
PF01297	Zinc-uptake complex component A periplasmic
PF01299	Lysosome-associated membrane glycoprotein (Lamp)
PF01300	Telomere recombination
PF01302	CAP-Gly domain
PF01306	LacY proton/sugar symporter
PF01311	Bacterial export proteins, family 1
PF01312	FlhB HrpN YscU SpaS Family
PF01321	Creatinase/Prolidase N-terminal domain
PF01326	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF01327	Polypeptide deformylase
PF01335	Death effector domain
PF01336	OB-fold nucleic acid binding domain
PF01339	CheB methylesterase
PF01342	SAND domain
PF01343	Peptidase family S49
PF01344	Kelch motif
PF01345	Domain of unknown function DUF11
PF01346	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
PF01352	KRAB box
PF01359	Transposase (partial DDE domain)
PF01363	FYVE zinc finger
PF01365	RIH domain
PF01367	5'-3' exonuclease, C-terminal SAM fold
PF01368	DHH family
PF01369	Sec7 domain
PF01370	NAD dependent epimerase/dehydratase family
PF01371	Trp repressor protein
PF01379	Porphobilinogen deaminase, dipyromethane cofactor binding domain
PF01380	SIS domain
PF01381	Helix-turn-helix
PF01388	ARID/BRIGHT DNA binding domain
PF01390	SEA domain
PF01391	Collagen triple helix repeat (20 copies)
PF01392	Fz domain
PF01393	Chromo shadow domain
PF01394	Clathrin propeller repeat
PF01396	Topoisomerase DNA binding C4 zinc finger
PF01398	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF01399	PCI domain
PF01403	Sema domain
PF01404	Ephrin receptor ligand binding domain
PF01406	tRNA synthetases class I (C) catalytic domain
PF01408	Oxidoreductase family, NAD-binding Rossmann fold
PF01409	tRNA synthetases class II core domain (F)
PF01410	Fibrillar collagen C-terminal domain
PF01411	tRNA synthetases class II (A)
PF01412	Putative GTPase activating protein for Arf
PF01413	C-terminal tandem repeated domain in type 4 procollagen
PF01414	Delta serrate ligand
PF01416	tRNA pseudouridine synthase
PF01417	ENTH domain
PF01420	Type I restriction modification DNA specificity domain
PF01421	Reprolysin (M12B) family zinc metalloprotease
PF01423	LSM domain
PF01424	R3H domain
PF01425	Amidase
PF01426	BAH domain
PF01428	AN1-like Zinc finger
PF01429	Methyl-CpG binding domain
PF01430	Hsp33 protein
PF01431	Peptidase family M13
PF01432	Peptidase family M3
PF01433	Peptidase family M1 domain
PF01434	Peptidase family M41
PF01435	Peptidase family M48
PF01436	NHL repeat
PF01437	Plexin repeat
PF01442	Apolipoprotein A1/A4/E domain
PF01443	Viral (Superfamily 1) RNA helicase
PF01447	Thermolysin metallopeptidase, catalytic domain
PF01448	ELM2 domain
PF01450	Acetohydroxy acid isomeroreductase, catalytic domain
PF01451	Low molecular weight phosphotyrosine protein phosphatase
PF01454	MAGE family
PF01458	Uncharacterized protein family (UPF0051)
PF01459	Eukaryotic porin
PF01462	Leucine rich repeat N-terminal domain
PF01463	Leucine rich repeat C-terminal domain
PF01464	Transglycosylase SLT domain
PF01465	GRIP domain
PF01466	Skp1 family, dimerisation domain
PF01467	Cytidylyltransferase-like
PF01471	Putative peptidoglycan binding domain
PF01472	PUA domain
PF01476	LysM domain
PF01477	PLAT/LH2 domain
PF01478	Type IV leader peptidase family
PF01479	S4 domain
PF01480	PWI domain
PF01483	Proprotein convertase P-domain
PF01485	IBR domain, a half RING-finger domain
PF01488	Shikimate / quinate 5-dehydrogenase
PF01490	Transmembrane amino acid transporter protein
PF01493	GXGXG motif
PF01494	FAD binding domain
PF01496	V-type ATPase 116kDa subunit family
PF01497	Periplasmic binding protein
PF01501	Glycosyl transferase family 8
PF01503	Phosphoribosyl-ATP pyrophosphohydrolase
PF01505	Major Vault Protein repeat domain
PF01509	TruB family pseudouridylate synthase (N terminal domain)
PF01510	N-acetylmuramoyl-L-alanine amidase
PF01512	Respiratory-chain NADH dehydrogenase 51 Kd subunit
PF01513	ATP-NAD kinase
PF01514	Secretory protein of YscJ/FliF family
PF01515	Phosphate acetyl/butaryl transferase
PF01520	N-acetylmuramoyl-L-alanine amidase
PF01521	Iron-sulphur cluster biosynthesis
PF01522	Polysaccharide deacetylase
PF01523	Putative modulator of DNA gyrase
PF01526	Tn3 transposase DDE domain
PF01527	Transposase
PF01529	DHHC palmitoyltransferase
PF01532	Glycosyl hydrolase family 47
PF01535	PPR repeat
PF01536	Adenosylmethionine decarboxylase
PF01541	GIY-YIG catalytic domain
PF01544	CorA-like Mg2+ transporter protein
PF01545	Cation efflux family
PF01546	Peptidase family M20/M25/M40
PF01547	Bacterial extracellular solute-binding protein
PF01551	Peptidase family M23
PF01553	Acyltransferase
PF01554	MatE
PF01556	DnaJ C terminal domain
PF01557	Fumarylacetoacetate (FAA) hydrolase family
PF01558	Pyruvate ferredoxin/flavodoxin oxidoreductase
PF01562	Reprolysin family propeptide
PF01565	FAD binding domain
PF01566	Natural resistance-associated macrophage protein
PF01568	Molydopterin dinucleotide binding domain
PF01569	PAP2 superfamily
PF01571	Aminomethyltransferase folate-binding domain
PF01575	MaoC like domain
PF01576	Myosin tail
PF01578	Cytochrome C assembly protein
PF01580	FtsK/SpoIIIE family
PF01582	TIR domain
PF01583	Adenylylsulphate kinase
PF01584	CheW-like domain
PF01585	G-patch domain
PF01588	Putative tRNA binding domain
PF01590	GAF domain
PF01591	6-phosphofructo-2-kinase
PF01593	Flavin containing amine oxidoreductase
PF01594	AI-2E family transporter
PF01595	Cyclin M transmembrane N-terminal domain
PF01596	O-methyltransferase
PF01597	Glycine cleavage H-protein
PF01602	Adaptin N terminal region
PF01603	Protein phosphatase 2A regulatory B subunit (B56 family)
PF01612	3'-5' exonuclease
PF01618	MotA/TolQ/ExbB proton channel family
PF01619	Proline dehydrogenase
PF01624	MutS domain I
PF01627	Hpt domain
PF01628	HrcA protein C terminal domain
PF01630	Hyaluronidase
PF01632	Ribosomal protein L35
PF01633	Choline/ethanolamine kinase
PF01636	Phosphotransferase enzyme family
PF01637	ATPase domain predominantly from Archaea
PF01638	HxlR-like helix-turn-helix
PF01645	Conserved region in glutamate synthase
PF01652	Eukaryotic initiation factor 4E
PF01653	NAD-dependent DNA ligase adenylation domain
PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain
PF01658	Myo-inositol-1-phosphate synthase
PF01661	Macro domain
PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase
PF01676	Metalloenzyme superfamily
PF01678	Diaminopimelate epimerase
PF01680	SOR/SNZ family
PF01687	Riboflavin kinase
PF01693	Caulimovirus viroplasmin
PF01695	IstB-like ATP binding protein
PF01699	Sodium/calcium exchanger protein
PF01702	Queuine tRNA-ribosyltransferase
PF01704	UTP--glucose-1-phosphate uridylyltransferase
PF01706	FliG C-terminal domain
PF01709	Transcriptional regulator
PF01713	Smr domain
PF01715	IPP transferase
PF01717	Cobalamin-independent synthase, Catalytic domain
PF01725	Ham1 family
PF01726	LexA DNA binding domain
PF01729	Quinolinate phosphoribosyl transferase, C-terminal domain
PF01731	Arylesterase
PF01733	Nucleoside transporter
PF01734	Patatin-like phospholipase
PF01735	Lysophospholipase catalytic domain
PF01738	Dienelactone hydrolase family
PF01740	STAS domain
PF01743	Poly A polymerase head domain
PF01745	Isopentenyl transferase
PF01746	tRNA (Guanine-1)-methyltransferase
PF01747	ATP-sulfurylase
PF01749	Importin beta binding domain
PF01751	Toprim domain
PF01752	Collagenase
PF01753	MYND finger
PF01754	A20-like zinc finger
PF01755	Glycosyltransferase family 25 (LPS biosynthesis protein)
PF01759	UNC-6/NTR/C345C module
PF01761	3-dehydroquinate synthase
PF01765	Ribosome recycling factor
PF01769	Divalent cation transporter
PF01773	Na+ dependent nucleoside transporter N-terminus
PF01784	NIF3 (NGG1p interacting factor 3)
PF01790	Prolipoprotein diacylglyceryl transferase
PF01791	DeoC/LacD family aldolase
PF01795	MraW methylase family
PF01797	Transposase IS200 like
PF01803	LIM-domain binding protein
PF01804	Penicillin amidase
PF01805	Surp module
PF01807	CHC2 zinc finger
PF01808	AICARFT/IMPCHase bienzyme
PF01810	LysE type translocator
PF01812	5-formyltetrahydrofolate cyclo-ligase family
PF01814	Hemerythrin HHE cation binding domain
PF01820	D-ala D-ala ligase N-terminus
PF01821	Anaphylotoxin-like domain
PF01823	MAC/Perforin domain
PF01825	GPCR proteolysis site, GPS, motif
PF01826	Trypsin Inhibitor like cysteine rich domain
PF01832	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
PF01833	IPT/TIG domain
PF01835	MG2 domain
PF01839	FG-GAP repeat
PF01840	TCL1/MTCP1 family
PF01841	Transglutaminase-like superfamily
PF01842	ACT domain
PF01843	DIL domain
PF01844	HNH endonuclease
PF01846	FF domain
PF01847	VHL beta domain
PF01849	NAC domain
PF01851	Proteasome/cyclosome repeat
PF01852	START domain
PF01853	MOZ/SAS family
PF01855	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
PF01857	Retinoblastoma-associated protein B domain
PF01858	Retinoblastoma-associated protein A domain
PF01863	Protein of unknown function DUF45
PF01868	Domain of unknown function UPF0086
PF01869	BadF/BadG/BcrA/BcrD ATPase family
PF01872	RibD C-terminal domain
PF01873	Domain found in IF2B/IF5
PF01882	Protein of unknown function DUF58
PF01883	Iron-sulfur cluster assembly protein
PF01904	Protein of unknown function DUF72
PF01909	Nucleotidyltransferase domain
PF01914	MarC family integral membrane protein
PF01915	Glycosyl hydrolase family 3 C-terminal domain
PF01920	Prefoldin subunit
PF01921	tRNA synthetases class I (K)
PF01922	SRP19 protein
PF01925	Sulfite exporter TauE/SafE
PF01926	50S ribosome-binding GTPase
PF01928	CYTH domain
PF01931	Protein of unknown function DUF84
PF01938	TRAM domain
PF01943	Polysaccharide biosynthesis protein
PF01946	Thi4 family
PF01951	Archease protein family (MTH1598/TM1083)
PF01957	NfeD-like C-terminal, partner-binding
PF01960	ArgJ family
PF01964	Radical SAM ThiC family
PF01965	DJ-1/PfpI family
PF01966	HD domain
PF01977	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF01978	Sugar-specific transcriptional regulator TrmB
PF01979	Amidohydrolase family
PF01980	tRNA-methyltransferase O
PF01983	Guanylyl transferase CofC like
PF01984	Double-stranded DNA-binding domain
PF01991	ATP synthase (E/31 kDa) subunit
PF01997	Translin family
PF02008	CXXC zinc finger domain
PF02017	CIDE-N domain
PF02020	eIF4-gamma/eIF5/eIF2-epsilon
PF02023	SCAN domain
PF02026	RyR domain
PF02028	BCCT, betaine/carnitine/choline family transporter
PF02029	Caldesmon
PF02036	SCP-2 sterol transfer family
PF02037	SAP domain
PF02038	ATP1G1/PLM/MAT8 family
PF02040	Arsenical pump membrane protein
PF02056	Family 4 glycosyl hydrolase
PF02064	MAS20 protein import receptor
PF02065	Melibiase
PF02073	Thermophilic metalloprotease (M29)
PF02074	Carboxypeptidase Taq (M32) metallopeptidase
PF02075	Crossover junction endodeoxyribonuclease RuvC
PF02080	TrkA-C domain
PF02089	Palmitoyl protein thioesterase
PF02091	Glycyl-tRNA synthetase alpha subunit
PF02092	Glycyl-tRNA synthetase beta subunit
PF02096	60Kd inner membrane protein
PF02099	Josephin
PF02107	Flagellar L-ring protein
PF02108	Flagellar assembly protein FliH
PF02109	DAD family
PF02115	RHO protein GDP dissociation inhibitor
PF02119	Flagellar P-ring protein
PF02120	Flagellar hook-length control protein FliK
PF02121	Phosphatidylinositol transfer protein
PF02129	X-Pro dipeptidyl-peptidase (S15 family)
PF02132	RecR protein
PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
PF02135	TAZ zinc finger
PF02136	Nuclear transport factor 2 (NTF2) domain
PF02137	Adenosine-deaminase (editase) domain
PF02138	Beige/BEACH domain
PF02140	Galactose binding lectin domain
PF02141	DENN (AEX-3) domain
PF02142	MGS-like domain
PF02145	Rap/ran-GAP
PF02146	Sir2 family
PF02148	Zn-finger in ubiquitin-hydrolases and other protein
PF02149	Kinase associated domain 1
PF02151	UvrB/uvrC motif
PF02155	Glucocorticoid receptor
PF02157	Mannose-6-phosphate receptor
PF02158	Neuregulin intracellular region
PF02159	Oestrogen receptor
PF02163	Peptidase family M50
PF02172	KIX domain
PF02173	pKID domain
PF02174	PTB domain (IRS-1 type)
PF02176	TRAF-type zinc finger
PF02177	Amyloid A4 N-terminal heparin-binding
PF02179	BAG domain
PF02180	Bcl-2 homology region 4
PF02181	Formin Homology 2 Domain
PF02184	HAT (Half-A-TPR) repeat
PF02185	Hr1 repeat
PF02186	TFIIE beta subunit core domain
PF02187	Growth-Arrest-Specific Protein 2 Domain
PF02189	Immunoreceptor tyrosine-based activation motif
PF02190	ATP-dependent protease La (LON) substrate-binding domain
PF02191	Olfactomedin-like domain
PF02194	PXA domain
PF02195	ParB-like nuclease domain
PF02196	Raf-like Ras-binding domain
PF02197	Regulatory subunit of type II PKA R-subunit
PF02198	Sterile alpha motif (SAM)/Pointed domain
PF02199	Saposin A-type domain
PF02201	SWIB/MDM2 domain
PF02203	Tar ligand binding domain homologue
PF02204	Vacuolar sorting protein 9 (VPS9) domain
PF02205	WH2 motif
PF02207	Putative zinc finger in N-recognin (UBR box)
PF02208	Sorbin homologous domain
PF02209	Villin headpiece domain
PF02210	Laminin G domain
PF02212	Dynamin GTPase effector domain
PF02213	GYF domain
PF02214	BTB/POZ domain
PF02218	Repeat in HS1/Cortactin
PF02219	Methylenetetrahydrofolate reductase
PF02221	ML domain
PF02222	ATP-grasp domain
PF02224	Cytidylate kinase
PF02225	PA domain
PF02230	Phospholipase/Carboxylesterase
PF02233	NAD(P) transhydrogenase beta subunit
PF02245	Methylpurine-DNA glycosylase (MPG)
PF02251	Proteasome activator pa28 alpha subunit
PF02252	Proteasome activator pa28 beta subunit
PF02254	TrkA-N domain
PF02256	Iron hydrogenase small subunit
PF02257	RFX DNA-binding domain
PF02259	FAT domain
PF02260	FATC domain
PF02261	Aspartate decarboxylase
PF02262	CBL proto-oncogene N-terminal domain 1
PF02263	Guanylate-binding protein, N-terminal domain
PF02270	TFIIF, beta subunit HTH domain
PF02272	DHHA1 domain
PF02274	Amidinotransferase
PF02275	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02290	Signal recognition particle 14kD protein
PF02291	Transcription initiation factor IID, 31kD subunit
PF02295	Adenosine deaminase z-alpha domain
PF02296	Alpha adaptin AP2, C-terminal domain
PF02297	Cytochrome oxidase c subunit VIb
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit
PF02308	MgtC family
PF02310	B12 binding domain
PF02311	AraC-like ligand binding domain
PF02318	FYVE-type zinc finger
PF02319	E2F/DP family winged-helix DNA-binding domain
PF02321	Outer membrane efflux protein
PF02324	Glycosyl hydrolase family 70
PF02338	OTU-like cysteine protease
PF02342	TerD domain
PF02347	Glycine cleavage system P-protein
PF02348	Cytidylyltransferase
PF02350	UDP-N-acetylglucosamine 2-epimerase
PF02353	Mycolic acid cyclopropane synthetase
PF02354	Latrophilin Cytoplasmic C-terminal region
PF02355	Protein export membrane protein
PF02357	Transcription termination factor nusG
PF02359	Cell division protein 48 (CDC48), N-terminal domain
PF02361	Cobalt transport protein
PF02366	Dolichyl-phosphate-mannose-protein mannosyltransferase
PF02367	Threonylcarbamoyl adenosine biosynthesis protein TsaE
PF02368	Bacterial Ig-like domain (group 2)
PF02369	Bacterial Ig-like domain (group 1)
PF02373	JmjC domain, hydroxylase
PF02374	Anion-transporting ATPase
PF02375	jmjN domain
PF02376	CUT domain
PF02377	Dishevelled specific domain
PF02378	Phosphotransferase system, EIIC
PF02383	SacI homology domain
PF02384	N-6 DNA Methylase
PF02387	IncFII RepA protein family
PF02390	Putative methyltransferase
PF02391	MoaE protein
PF02397	Bacterial sugar transferase
PF02401	LytB protein
PF02403	Seryl-tRNA synthetase N-terminal domain
PF02405	Permease MlaE
PF02421	Ferrous iron transport protein B
PF02423	Ornithine cyclodeaminase/mu-crystallin family
PF02424	ApbE family
PF02434	Fringe-like
PF02436	Conserved carboxylase domain
PF02437	SKI/SNO/DAC family
PF02441	Flavoprotein
PF02445	Quinolinate synthetase A protein
PF02446	4-alpha-glucanotransferase
PF02447	GntP family permease
PF02449	Beta-galactosidase
PF02453	Reticulon
PF02457	DisA bacterial checkpoint controller nucleotide-binding
PF02460	Patched family
PF02463	RecF/RecN/SMC N terminal domain
PF02465	Flagellar hook-associated protein 2 N-terminus
PF02469	Fasciclin domain
PF02470	MlaD protein
PF02472	Biopolymer transport protein ExbD/TolR
PF02475	Met-10+ like-protein
PF02480	Alphaherpesvirus glycoprotein E
PF02482	Sigma 54 modulation protein / S30EA ribosomal protein
PF02491	SHS2 domain inserted in FTSA
PF02492	CobW/HypB/UreG, nucleotide-binding domain
PF02493	MORN repeat
PF02494	HYR domain
PF02503	Polyphosphate kinase middle domain
PF02508	Rnf-Nqr subunit, membrane protein
PF02513	Spin/Ssty Family
PF02516	Oligosaccharyl transferase STT3 subunit
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF02525	Flavodoxin-like fold
PF02535	ZIP Zinc transporter
PF02540	NAD synthase
PF02541	Ppx/GppA phosphatase family
PF02547	Queuosine biosynthesis protein
PF02548	Ketopantoate hydroxymethyltransferase
PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain
PF02552	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
PF02554	Carbon starvation protein CstA
PF02556	Preprotein translocase subunit SecB
PF02558	Ketopantoate reductase PanE/ApbA
PF02559	CarD-like/TRCF domain
PF02562	PhoH-like protein
PF02566	OsmC-like protein
PF02568	Thiamine biosynthesis protein (ThiI)
PF02574	Homocysteine S-methyltransferase
PF02575	YbaB/EbfC DNA-binding family
PF02581	Thiamine monophosphate synthase
PF02588	Uncharacterised 5xTM membrane BCR, YitT family COG1284
PF02589	LUD domain
PF02592	Putative vitamin uptake transporter
PF02595	Glycerate kinase family
PF02601	Exonuclease VII, large subunit
PF02602	Uroporphyrinogen-III synthase HemD
PF02607	B12 binding domain
PF02611	CDP-diacylglycerol pyrophosphatase
PF02614	Glucuronate isomerase
PF02618	YceG-like family
PF02620	Large ribosomal RNA subunit accumulation protein YceD
PF02622	Uncharacterized ACR, COG1678
PF02624	YcaO cyclodehydratase, ATP-ad Mg2+-binding
PF02626	Carboxyltransferase domain, subdomain A and B
PF02629	CoA binding domain
PF02631	RecX family
PF02634	FdhD/NarQ family
PF02636	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF02637	GatB domain
PF02645	Uncharacterised protein, DegV family COG1307
PF02650	WhiA C-terminal HTH domain
PF02652	L-lactate permease
PF02653	Branched-chain amino acid transport system / permease component
PF02655	ATP-grasp domain
PF02661	Fic/DOC family
PF02664	S-Ribosylhomocysteinase (LuxS)
PF02667	Short chain fatty acid transporter
PF02671	Paired amphipathic helix repeat
PF02673	Bacitracin resistance protein BacA
PF02683	Cytochrome C biogenesis protein transmembrane region
PF02685	Glucokinase
PF02687	FtsX-like permease family
PF02702	Osmosensitive K+ channel His kinase sensor domain
PF02706	Chain length determinant protein
PF02709	N-terminal domain of galactosyltransferase
PF02719	Polysaccharide biosynthesis protein
PF02729	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF02733	Dak1 domain
PF02734	DAK2 domain
PF02735	Ku70/Ku80 beta-barrel domain
PF02736	Myosin N-terminal SH3-like domain
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF02739	5'-3' exonuclease, N-terminal resolvase-like domain
PF02743	Cache domain
PF02744	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02746	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02749	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02752	Arrestin (or S-antigen), C-terminal domain
PF02753	Pili assembly chaperone PapD, C-terminal domain
PF02754	Cysteine-rich domain
PF02755	RPEL repeat
PF02758	PAAD/DAPIN/Pyrin domain
PF02759	RUN domain
PF02760	HIN-200/IF120x domain
PF02761	CBL proto-oncogene N-terminus, EF hand-like domain
PF02762	CBL proto-oncogene N-terminus, SH2-like domain
PF02765	Telomeric single stranded DNA binding POT1/CDC13
PF02769	AIR synthase related protein, C-terminal domain
PF02770	Acyl-CoA dehydrogenase, middle domain
PF02771	Acyl-CoA dehydrogenase, N-terminal domain
PF02772	S-adenosylmethionine synthetase, central domain
PF02773	S-adenosylmethionine synthetase, C-terminal domain
PF02774	Semialdehyde dehydrogenase, dimerisation domain
PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02777	Iron/manganese superoxide dismutases, C-terminal domain
PF02779	Transketolase, pyrimidine binding domain
PF02780	Transketolase, C-terminal domain
PF02781	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02782	FGGY family of carbohydrate kinases, C-terminal domain
PF02784	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02785	Biotin carboxylase C-terminal domain
PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02789	Cytosol aminopeptidase family, N-terminal domain
PF02791	DDT domain
PF02793	Hormone receptor domain
PF02796	Helix-turn-helix domain of resolvase
PF02798	Glutathione S-transferase, N-terminal domain
PF02800	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF02801	Beta-ketoacyl synthase, C-terminal domain
PF02803	Thiolase, C-terminal domain
PF02806	Alpha amylase, C-terminal all-beta domain
PF02809	Ubiquitin interaction motif
PF02810	SEC-C motif
PF02811	PHP domain
PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02815	MIR domain
PF02817	e3 binding domain
PF02820	mbt repeat
PF02822	Antistasin family
PF02824	TGS domain
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02828	L27 domain
PF02833	DHHA2 domain
PF02834	LigT like Phosphoesterase
PF02836	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	Glycosyl hydrolases family 2, sugar binding domain
PF02839	Carbohydrate binding domain
PF02840	Prp18 domain
PF02841	Guanylate-binding protein, C-terminal domain
PF02843	Phosphoribosylglycinamide synthetase, C domain
PF02844	Phosphoribosylglycinamide synthetase, N domain
PF02845	CUE domain
PF02847	MA3 domain
PF02852	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF02854	MIF4G domain
PF02861	Clp amino terminal domain, pathogenicity island component
PF02862	DDHD domain
PF02864	STAT protein, DNA binding domain
PF02865	STAT protein, protein interaction domain
PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	Ribonucleotide reductase, barrel domain
PF02868	Thermolysin metallopeptidase, alpha-helical domain
PF02870	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF02872	5'-nucleotidase, C-terminal domain
PF02875	Mur ligase family, glutamate ligase domain
PF02877	Poly(ADP-ribose) polymerase, regulatory domain
PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02881	SRP54-type protein, helical bundle domain
PF02882	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02883	Adaptin C-terminal domain
PF02885	Glycosyl transferase family, helical bundle domain
PF02887	Pyruvate kinase, alpha/beta domain
PF02889	Sec63 Brl domain
PF02891	MIZ/SP-RING zinc finger
PF02892	BED zinc finger
PF02893	GRAM domain
PF02894	Oxidoreductase family, C-terminal alpha/beta domain
PF02895	Signal transducing histidine kinase, homodimeric domain
PF02896	PEP-utilising enzyme, TIM barrel domain
PF02897	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02898	Nitric oxide synthase, oxygenase domain
PF02899	Phage integrase, N-terminal SAM-like domain
PF02900	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02901	Pyruvate formate lyase-like
PF02902	Ulp1 protease family, C-terminal catalytic domain
PF02903	Alpha amylase, N-terminal ig-like domain
PF02906	Iron only hydrogenase large subunit, C-terminal domain
PF02910	Fumarate reductase flavoprotein C-term
PF02911	Formyl transferase, C-terminal domain
PF02912	Aminoacyl tRNA synthetase class II, N-terminal domain
PF02913	FAD linked oxidases, C-terminal domain
PF02915	Rubrerythrin
PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02926	THUMP domain
PF02928	C5HC2 zinc finger
PF02929	Beta galactosidase small chain
PF02933	Cell division protein 48 (CDC48), domain 2
PF02934	GatB/GatE catalytic domain
PF02938	GAD domain
PF02946	GTF2I-like repeat
PF02951	Prokaryotic glutathione synthetase, N-terminal domain
PF02954	Bacterial regulatory protein, Fis family
PF02955	Prokaryotic glutathione synthetase, ATP-grasp domain
PF02965	Vitamin B12 dependent methionine synthase, activation domain
PF02969	TATA box binding protein associated factor (TAF)
PF02978	Signal peptide binding domain
PF02984	Cyclin, C-terminal domain
PF02985	HEAT repeat
PF02990	Endomembrane protein 70
PF02991	Autophagy protein Atg8 ubiquitin like
PF02994	L1 transposable element RBD-like domain
PF02996	Prefoldin subunit
PF03006	Haemolysin-III related
PF03009	Glycerophosphoryl diester phosphodiesterase family
PF03016	Exostosin family
PF03020	LEM domain
PF03028	Dynein heavy chain region D6 P-loop domain
PF03029	Conserved hypothetical ATP binding protein
PF03031	NLI interacting factor-like phosphatase
PF03036	Perilipin family
PF03051	Peptidase C1-like family
PF03054	tRNA methyl transferase
PF03059	Nicotianamine synthase protein
PF03060	Nitronate monooxygenase
PF03061	Thioesterase superfamily
PF03063	Prismane/CO dehydrogenase family
PF03066	Nucleoplasmin/nucleophosmin domain
PF03067	Lytic polysaccharide mono-oxygenase, cellulose-degrading
PF03070	TENA/THI-4/PQQC family
PF03074	Glutamate-cysteine ligase
PF03079	ARD/ARD' family
PF03081	Exo70 exocyst complex subunit
PF03091	CutA1 divalent ion tolerance protein
PF03096	Ndr family
PF03097	BRO1-like domain
PF03098	Animal haem peroxidase
PF03099	Biotin/lipoate A/B protein ligase family
PF03104	DNA polymerase family B, exonuclease domain
PF03107	C1 domain
PF03109	ABC1 family
PF03114	BAR domain
PF03118	Bacterial RNA polymerase, alpha chain C terminal domain
PF03119	NAD-dependent DNA ligase C4 zinc finger domain
PF03120	NAD-dependent DNA ligase OB-fold domain
PF03123	CAT RNA binding domain
PF03126	Plus-3 domain
PF03127	GAT domain
PF03129	Anticodon binding domain
PF03130	PBS lyase HEAT-like repeat
PF03131	bZIP Maf transcription factor
PF03133	Tubulin-tyrosine ligase family
PF03137	Organic Anion Transporter Polypeptide (OATP) family
PF03143	Elongation factor Tu C-terminal domain
PF03144	Elongation factor Tu domain 2
PF03145	Seven in absentia protein family
