Entry	Query	Entry name	Organism	Organism ID	Length	Status
Q8CZR5	Q8CZR5	Q8CZR5_YERPE	Yersinia pestis	632	632	unreviewed
Q0WGU1	Q7CHN7	Q0WGU1_YERPE	Yersinia pestis	632	1140	unreviewed
Q8D1N0	Q8D1N0	Q8D1N0_YERPE	Yersinia pestis	632	378	unreviewed
A0A384LA02	Q7CKD1	A0A384LA02_YERPE	Yersinia pestis	632	280	unreviewed
A0A384LJW8	Q7CGY5	A0A384LJW8_YERPE	Yersinia pestis	632	145	unreviewed
A0A384KKM6	Q7CHC4	A0A384KKM6_YERPE	Yersinia pestis	632	598	unreviewed
A0A384L4X0	Q7CL70	A0A384L4X0_YERPE	Yersinia pestis	632	481	unreviewed
Q8D1L8	Q8D1L8	Q8D1L8_YERPE	Yersinia pestis	632	213	unreviewed
Q8D1J2	Q8D1J2	Q8D1J2_YERPE	Yersinia pestis	632	553	unreviewed
A0A384LC01	Q7CIY4	A0A384LC01_YERPE	Yersinia pestis	632	328	unreviewed
Q8CZT1	Q8CZT1	Q8CZT1_YERPE	Yersinia pestis	632	401	unreviewed
A0A384K924	Q7CFV5	A0A384K924_YERPE	Yersinia pestis	632	513	unreviewed
A0A384KMD8	Q7CL96	A0A384KMD8_YERPE	Yersinia pestis	632	213	unreviewed
A0A384L870	Q7CL61	A0A384L870_YERPE	Yersinia pestis	632	80	unreviewed
A0A384LIR6	Q7CL91	A0A384LIR6_YERPE	Yersinia pestis	632	207	unreviewed
Q8D1J3	Q8D1J3	Q8D1J3_YERPE	Yersinia pestis	632	788	unreviewed
A0A384LC41	Q7CGE5	A0A384LC41_YERPE	Yersinia pestis	632	1117	unreviewed
A0A384LAQ1	Q7ARA8	A0A384LAQ1_YERPE	Yersinia pestis	632	128	unreviewed
A0A384KUI4	Q7CGU5	A0A384KUI4_YERPE	Yersinia pestis	632	380	unreviewed
Q0WHF1	Q7CHC3	Q0WHF1_YERPE	Yersinia pestis	632	382	unreviewed
A0A384KTX0	Q7CJ97	A0A384KTX0_YERPE	Yersinia pestis	632	147	unreviewed
A0A384KQ85	Q7CKZ7	A0A384KQ85_YERPE	Yersinia pestis	632	875	unreviewed
A0A0H2W1U8	Q7CH46	A0A0H2W1U8_YERPE	Yersinia pestis	632	935	unreviewed
A0A0H2W839	Q7CGH9	A0A0H2W839_YERPE	Yersinia pestis	632	757	unreviewed
A0A384LGT3	Q7CGS9	A0A384LGT3_YERPE	Yersinia pestis	632	437	unreviewed
A0A384L6K3	Q7CGJ4	A0A384L6K3_YERPE	Yersinia pestis	632	826	unreviewed
A0A384LBD8	Q7CHK1	A0A384LBD8_YERPE	Yersinia pestis	632	618	unreviewed
A0A384L2Q0	Q7CL55	A0A384L2Q0_YERPE	Yersinia pestis	632	391	unreviewed
A0A384KLT9	Q7CG08	A0A384KLT9_YERPE	Yersinia pestis	632	422	unreviewed
A0A384KHX8	Q7CKJ7	A0A384KHX8_YERPE	Yersinia pestis	632	328	unreviewed
A0A384L096	Q7CFQ3	A0A384L096_YERPE	Yersinia pestis	632	323	unreviewed
A0A384LPA7	Q7CGA4	A0A384LPA7_YERPE	Yersinia pestis	632	601	unreviewed
A0A384LJ06	Q7CKQ0	A0A384LJ06_YERPE	Yersinia pestis	632	792	unreviewed
A0A384LQC5	Q7CH26	A0A384LQC5_YERPE	Yersinia pestis	632	235	unreviewed
A0A384LII3	Q7CKK2	A0A384LII3_YERPE	Yersinia pestis	632	460	unreviewed
A0A384L1C8	Q7CHL6	A0A384L1C8_YERPE	Yersinia pestis	632	712	unreviewed
A0A384LQH9	Q7CG98	A0A384LQH9_YERPE	Yersinia pestis	632	367	unreviewed
A0A384KL53	Q7CFV4	A0A384KL53_YERPE	Yersinia pestis	632	706	unreviewed
A0A384KU41	Q7CGI7	A0A384KU41_YERPE	Yersinia pestis	632	518	unreviewed
Q0WG89	Q7CIW9	Q0WG89_YERPE	Yersinia pestis	632	815	unreviewed
A0A384KL30	Q7CKZ2	A0A384KL30_YERPE	Yersinia pestis	632	419	unreviewed
A0A384KQH8	Q7CKE6	A0A384KQH8_YERPE	Yersinia pestis	632	887	unreviewed
A0A384K961	Q7CFT0	A0A384K961_YERPE	Yersinia pestis	632	443	unreviewed
A0A384LC90	Q7CH58	A0A384LC90_YERPE	Yersinia pestis	632	350	unreviewed
A0A384KJJ3	Q7CH95	A0A384KJJ3_YERPE	Yersinia pestis	632	762	unreviewed
Q8CKM1	Q8CKM1	Q8CKM1_YERPE	Yersinia pestis	632	641	unreviewed
Q8CLF6	Q8CLF6	Q8CLF6_YERPE	Yersinia pestis	632	323	unreviewed
Q8CWI4	Q8CWI4	Q8CWI4_YERPE	Yersinia pestis	632	413	unreviewed
A0A384KVS6	Q7CIQ1	A0A384KVS6_YERPE	Yersinia pestis	632	256	unreviewed
Q0WI45	Q7CGN3	Q0WI45_YERPE	Yersinia pestis	632	788	unreviewed
Q7CJE7	Q7CJE7	Q7CJE7_YERPE	Yersinia pestis	632	411	unreviewed
A0A384LFF3	Q7CKP6	A0A384LFF3_YERPE	Yersinia pestis	632	685	unreviewed
A0A384KMX6	Q7CIG7	A0A384KMX6_YERPE	Yersinia pestis	632	511	unreviewed
Q0WBX6	Q7CKA2	Q0WBX6_YERPE	Yersinia pestis	632	507	unreviewed
Q8CKN0	Q8CKN0	Q8CKN0_YERPE	Yersinia pestis	632	68	unreviewed
Q8CLU2	Q8CLU2	Q8CLU2_YERPE	Yersinia pestis	632	120	unreviewed
A0A384KAF1	Q7CGP1	A0A384KAF1_YERPE	Yersinia pestis	632	458	unreviewed
A0A384KAE1	Q7CJH4	A0A384KAE1_YERPE	Yersinia pestis	632	50	unreviewed
Q8CZR8	Q8CZR8	Q8CZR8_YERPE	Yersinia pestis	632	393	unreviewed
A0A384LJU9	Q7CK42	A0A384LJU9_YERPE	Yersinia pestis	632	329	unreviewed
A0A0H2W6C0	Q7CJH1	A0A0H2W6C0_YERPE	Yersinia pestis	632	277	unreviewed
A0A384KLT6	Q7CJS7	A0A384KLT6_YERPE	Yersinia pestis	632	268	unreviewed
A0A0H2W7X2	Q7CGC5	A0A0H2W7X2_YERPE	Yersinia pestis	632	232	unreviewed
A0A384LQ82	Q7CGK6	A0A384LQ82_YERPE	Yersinia pestis	632	141	unreviewed
A0A384LH64	Q7CJ81	A0A384LH64_YERPE	Yersinia pestis	632	330	unreviewed
A0A384L1E1	Q7ARE6	A0A384L1E1_YERPE	Yersinia pestis	632	299	unreviewed
A0A384KFS5	Q7CG52	A0A384KFS5_YERPE	Yersinia pestis	632	1028	unreviewed
A0A384KV73	Q7CK82	A0A384KV73_YERPE	Yersinia pestis	632	249	unreviewed
Q7CGN7	Q7CGN7	Q7CGN7_YERPE	Yersinia pestis	632	442	unreviewed
A0A384KHH0	Q7CG93	A0A384KHH0_YERPE	Yersinia pestis	632	172	unreviewed
A0A384KEK4	Q7CL32	A0A384KEK4_YERPE	Yersinia pestis	632	152	unreviewed
A0A384LDT6	Q7CHI7	A0A384LDT6_YERPE	Yersinia pestis	632	164	unreviewed
A0A0H2W1Z0	Q7CJV3	A0A0H2W1Z0_YERPE	Yersinia pestis	632	344	unreviewed
Q8D0E1	Q8D0E1	Q8D0E1_YERPE	Yersinia pestis	632	474	unreviewed
Q8CZY2	Q8CZY2	Q8CZY2_YERPE	Yersinia pestis	632	1123	unreviewed
Q7CGP9	Q7CHN2	Q7CGP9_YERPE	Yersinia pestis	632	578	unreviewed
A0A384K8S0	Q7CJU5	A0A384K8S0_YERPE	Yersinia pestis	632	554	unreviewed
A0A384LQD6	Q7CHU3	A0A384LQD6_YERPE	Yersinia pestis	632	572	unreviewed
A0A384KH41	Q7CIC5	A0A384KH41_YERPE	Yersinia pestis	632	213	unreviewed
A0A0H2W2R5	Q7CKH1	A0A0H2W2R5_YERPE	Yersinia pestis	632	388	unreviewed
A0A384KQR2	Q7CKG6	A0A384KQR2_YERPE	Yersinia pestis	632	239	unreviewed
A0A384KV50	Q7CGG3	A0A384KV50_YERPE	Yersinia pestis	632	460	unreviewed
A0A384LAC1	Q7CHR5	A0A384LAC1_YERPE	Yersinia pestis	632	515	unreviewed
Q8CZT9	Q8CZT9	Q8CZT9_YERPE	Yersinia pestis	632	2134	unreviewed
A0A384LBQ5	Q7CFS1	A0A384LBQ5_YERPE	Yersinia pestis	632	563	unreviewed
Q7CJ60	Q7CJ60	Q7CJ60_YERPE	Yersinia pestis	632	408	unreviewed
A0A384L090	Q7CLB3	A0A384L090_YERPE	Yersinia pestis	632	207	unreviewed
Q8CLC4	Q8CLC4	Q8CLC4_YERPE	Yersinia pestis	632	75	unreviewed
A0A384LGH0	Q7CKZ0	A0A384LGH0_YERPE	Yersinia pestis	632	463	unreviewed
A0A384LI09	Q7CJW2	A0A384LI09_YERPE	Yersinia pestis	632	95	unreviewed
A0A384L802	Q7CKF7	A0A384L802_YERPE	Yersinia pestis	632	143	unreviewed
Q8CWH4	Q8CWH4	Q8CWH4_YERPE	Yersinia pestis	632	1283	unreviewed
A0A384KHN0	Q7CIL8	A0A384KHN0_YERPE	Yersinia pestis	632	871	unreviewed
Q8D0R8	Q8D0R8	Q8D0R8_YERPE	Yersinia pestis	632	2579	unreviewed
A0A384KNN0	Q7CI00	A0A384KNN0_YERPE	Yersinia pestis	632	369	unreviewed
A0A384LBV3	Q7CGU0	A0A384LBV3_YERPE	Yersinia pestis	632	404	unreviewed
A0A384K8I4	O68740	A0A384K8I4_YERPE	Yersinia pestis	632	529	unreviewed
A0A384K8J9	Q7CKU7	A0A384K8J9_YERPE	Yersinia pestis	632	340	unreviewed
A0A384KWW8	Q7CG97	A0A384KWW8_YERPE	Yersinia pestis	632	782	unreviewed
Q7CGT6	Q7CGT6	Q7CGT6_YERPE	Yersinia pestis	632	233	unreviewed
Q8D174	Q8D174	Q8D174_YERPE	Yersinia pestis	632	1526	unreviewed
A0A384KWN1	Q7CL64	A0A384KWN1_YERPE	Yersinia pestis	632	638	unreviewed
A0A384KTG5	Q7CKM6	A0A384KTG5_YERPE	Yersinia pestis	632	607	unreviewed
A0A384LJV4	Q7CID4	A0A384LJV4_YERPE	Yersinia pestis	632	201	unreviewed
A0A384L3Y0	Q7ARE3	A0A384L3Y0_YERPE	Yersinia pestis	632	519	unreviewed
A0A384KSL0	Q7CKY8	A0A384KSL0_YERPE	Yersinia pestis	632	406	unreviewed
Q8CLD7	Q8CLD7	Q8CLD7_YERPE	Yersinia pestis	632	861	unreviewed
A0A384LKL7	Q7CGX5	A0A384LKL7_YERPE	Yersinia pestis	632	432	unreviewed
Q0WG31	Q7CHV2	Q0WG31_YERPE	Yersinia pestis	632	324	unreviewed
A0A384LBF7	Q7CGW9	A0A384LBF7_YERPE	Yersinia pestis	632	352	unreviewed
A0A384L3Q4	Q7CJ74	A0A384L3Q4_YERPE	Yersinia pestis	632	319	unreviewed
A0A384K9K8	Q7CKS5	A0A384K9K8_YERPE	Yersinia pestis	632	523	unreviewed
A0A384L7X2	Q7CJR5	A0A384L7X2_YERPE	Yersinia pestis	632	908	unreviewed
A0A0H2W7L9	Q7CGF0	A0A0H2W7L9_YERPE	Yersinia pestis	632	727	unreviewed
Q8CKV8	Q8CKV8	Q8CKV8_YERPE	Yersinia pestis	632	123	unreviewed
Q0WFZ3	Q7CHX7	Q0WFZ3_YERPE	Yersinia pestis	632	134	unreviewed
Q7CHR0	Q7CHR0	Q7CHR0_YERPE	Yersinia pestis	632	363	unreviewed
A0A0H2W6A8	Q7CGK8	A0A0H2W6A8_YERPE	Yersinia pestis	632	413	unreviewed
A0A384LQ01	Q7CGV2	A0A384LQ01_YERPE	Yersinia pestis	632	285	unreviewed
Q8D1L3	Q8D1L3	Q8D1L3_YERPE	Yersinia pestis	632	333	unreviewed
Q8CKI1	Q8CKI1	Q8CKI1_YERPE	Yersinia pestis	632	153	unreviewed
A0A384L1X8	Q7CGS8	A0A384L1X8_YERPE	Yersinia pestis	632	198	unreviewed
Q8D051	Q8D051	Q8D051_YERPE	Yersinia pestis	632	376	unreviewed
A0A384LN63	Q7CKC3	A0A384LN63_YERPE	Yersinia pestis	632	429	unreviewed
A0A384LAN6	Q7CFW0	A0A384LAN6_YERPE	Yersinia pestis	632	848	unreviewed
Q0WEC9	Q7CIS8	Q0WEC9_YERPE	Yersinia pestis	632	470	unreviewed
Q8CZU2	Q8CZU2	Q8CZU2_YERPE	Yersinia pestis	632	3710	unreviewed
A0A384KJ22	Q7CL87	A0A384KJ22_YERPE	Yersinia pestis	632	187	unreviewed
Q8D052	Q8D052	Q8D052_YERPE	Yersinia pestis	632	651	unreviewed
Q0WBI4	Q7CKG9	Q0WBI4_YERPE	Yersinia pestis	632	250	unreviewed
Q8CZW5	Q8CZW5	Q8CZW5_YERPE	Yersinia pestis	632	697	unreviewed
Q8CZT6	Q8CZT6	Q8CZT6_YERPE	Yersinia pestis	632	666	unreviewed
Q0WJU7	Q7CKM5	Q0WJU7_YERPE	Yersinia pestis	632	1119	unreviewed
A0A384KY00	Q7CL84	A0A384KY00_YERPE	Yersinia pestis	632	90	unreviewed
Q8CLQ7	Q8CLQ7	Q8CLQ7_YERPE	Yersinia pestis	632	1267	unreviewed
A0A384K8D1	Q7CGW7	A0A384K8D1_YERPE	Yersinia pestis	632	535	unreviewed
Q0WCQ3	Q7CJH0	Q0WCQ3_YERPE	Yersinia pestis	632	291	unreviewed
Q8D1U4	Q8D1U4	Q8D1U4_YERPE	Yersinia pestis	632	543	unreviewed
Q8CKI5	Q8CKI5	Q8CKI5_YERPE	Yersinia pestis	632	342	unreviewed
Q8CLS7	Q8CLS7	Q8CLS7_YERPE	Yersinia pestis	632	143	unreviewed
A0A384LL75	Q7CHV7	A0A384LL75_YERPE	Yersinia pestis	632	267	unreviewed
A0A0H2W4I9	Q7CHE2	A0A0H2W4I9_YERPE	Yersinia pestis	632	380	unreviewed
A0A384KFY6	Q7CG61	A0A384KFY6_YERPE	Yersinia pestis	632	326	unreviewed
A0A384LLU6	Q7CIC0	A0A384LLU6_YERPE	Yersinia pestis	632	147	unreviewed
A0A384L3M8	Q7CKA9	A0A384L3M8_YERPE	Yersinia pestis	632	367	unreviewed
A0A384LH97	Q7CGV8	A0A384LH97_YERPE	Yersinia pestis	632	400	unreviewed
Q7CIZ0	Q7CIZ0	Q7CIZ0_YERPE	Yersinia pestis	632	194	unreviewed
Q0WBR6	Q7CKD2	Q0WBR6_YERPE	Yersinia pestis	632	744	unreviewed
Q8D020	Q8D020	Q8D020_YERPE	Yersinia pestis	632	487	unreviewed
Q8D0L8	Q8D0L8	Q8D0L8_YERPE	Yersinia pestis	632	285	unreviewed
A0A384KMF4	Q7CGQ9	A0A384KMF4_YERPE	Yersinia pestis	632	720	unreviewed
Q8CLD5	Q8CLD5	Q8CLD5_YERPE	Yersinia pestis	632	179	unreviewed
A0A0H2W5N0	Q7CJ95	A0A0H2W5N0_YERPE	Yersinia pestis	632	220	unreviewed
A0A0H2W9Q1	Q7CG60	A0A0H2W9Q1_YERPE	Yersinia pestis	632	423	unreviewed
Q8CLT3	Q8CLT3	Q8CLT3_YERPE	Yersinia pestis	632	468	unreviewed
A0A384LCZ1	Q7CGG1	A0A384LCZ1_YERPE	Yersinia pestis	632	310	unreviewed
A0A384L4P0	Q7CGU7	A0A384L4P0_YERPE	Yersinia pestis	632	774	unreviewed
A0A384KII1	Q7CG45	A0A384KII1_YERPE	Yersinia pestis	632	163	unreviewed
A0A0H2W2H9	Q7CKP1	A0A0H2W2H9_YERPE	Yersinia pestis	632	397	unreviewed
A0A384KFZ8	Q7CHF5	A0A384KFZ8_YERPE	Yersinia pestis	632	665	unreviewed
A0A384KKB3	Q7CG57	A0A384KKB3_YERPE	Yersinia pestis	632	145	unreviewed
A0A384KC99	Q7CJD2	A0A384KC99_YERPE	Yersinia pestis	632	626	unreviewed
A0A384L0S4	Q7CHD9	A0A384L0S4_YERPE	Yersinia pestis	632	84	unreviewed
A0A384K9J4	Q7CGZ5	A0A384K9J4_YERPE	Yersinia pestis	632	748	unreviewed
A0A384LKB0	Q7CJU8	A0A384LKB0_YERPE	Yersinia pestis	632	292	unreviewed
A0A0H2W437	Q7CHH1	A0A0H2W437_YERPE	Yersinia pestis	632	378	unreviewed
A0A384LLI6	Q7CGR8	A0A384LLI6_YERPE	Yersinia pestis	632	273	unreviewed
A0A0H2W7W5	Q7CGN8	A0A0H2W7W5_YERPE	Yersinia pestis	632	582	unreviewed
Q8CZJ8	Q8CZJ8	Q8CZJ8_YERPE	Yersinia pestis	632	859	unreviewed
A0A384LPL9	Q7CG38	A0A384LPL9_YERPE	Yersinia pestis	632	384	unreviewed
Q0W9V4	Q7CFP2	Q0W9V4_YERPE	Yersinia pestis	632	687	unreviewed
A0A384L0J7	Q7CHZ4	A0A384L0J7_YERPE	Yersinia pestis	632	330	unreviewed
Q0WA17	Q7CG20	Q0WA17_YERPE	Yersinia pestis	632	535	unreviewed
A0A384L3W4	Q7CJU2	A0A384L3W4_YERPE	Yersinia pestis	632	677	unreviewed
A0A0H2W3V4	Q7CI04	A0A0H2W3V4_YERPE	Yersinia pestis	632	220	unreviewed
A0A384KXB5	Q7CIE3	A0A384KXB5_YERPE	Yersinia pestis	632	370	unreviewed
A0A384KB95	Q7CG91	A0A384KB95_YERPE	Yersinia pestis	632	186	unreviewed
A0A0H2W329	Q7CKN1	A0A0H2W329_YERPE	Yersinia pestis	632	715	unreviewed
A0A384L807	Q7CIM3	A0A384L807_YERPE	Yersinia pestis	632	521	unreviewed
Q0WDU0	Q7CJV9	Q0WDU0_YERPE	Yersinia pestis	632	321	unreviewed
A0A384KIP4	Q7CKY1	A0A384KIP4_YERPE	Yersinia pestis	632	156	unreviewed
A0A384KAJ5	Q7CKB2	A0A384KAJ5_YERPE	Yersinia pestis	632	345	unreviewed
A0A0H2W0T4	Q7CLB1	A0A0H2W0T4_YERPE	Yersinia pestis	632	702	unreviewed
Q0WHE2	Q7CHC8	Q0WHE2_YERPE	Yersinia pestis	632	399	unreviewed
Q8CZL8	Q8CZL8	Q8CZL8_YERPE	Yersinia pestis	632	595	unreviewed
A0A0H2WA10	Q7CL58	A0A0H2WA10_YERPE	Yersinia pestis	632	296	unreviewed
Q8D1R8	Q8D1R8	Q8D1R8_YERPE	Yersinia pestis	632	311	unreviewed
Q0WHE4	Q7CHC7	Q0WHE4_YERPE	Yersinia pestis	632	585	unreviewed
Q7CHV3	Q7CHV3	Q7CHV3_YERPE	Yersinia pestis	632	464	unreviewed
A0A0H2W363	Q7CKL1	A0A0H2W363_YERPE	Yersinia pestis	632	206	unreviewed
A0A384L5G7	Q7CJ43	A0A384L5G7_YERPE	Yersinia pestis	632	424	unreviewed
A0A384L5I0	Q7CJF6	A0A384L5I0_YERPE	Yersinia pestis	632	85	unreviewed
Q0WI64	Q7CHM9	Q0WI64_YERPE	Yersinia pestis	632	514	unreviewed
A0A384KV76	Q7CGZ1	A0A384KV76_YERPE	Yersinia pestis	632	420	unreviewed
Q8D045	Q8D045	Q8D045_YERPE	Yersinia pestis	632	591	unreviewed
A0A384K834	Q7CIB9	A0A384K834_YERPE	Yersinia pestis	632	271	unreviewed
A0A384KKF8	Q7CK51	A0A384KKF8_YERPE	Yersinia pestis	632	354	unreviewed
A0A384L5T6	Q7CL40	A0A384L5T6_YERPE	Yersinia pestis	632	313	unreviewed
A0A384L523	Q7CG03	A0A384L523_YERPE	Yersinia pestis	632	445	unreviewed
A0A384KNX1	Q7CIR2	A0A384KNX1_YERPE	Yersinia pestis	632	296	unreviewed
A0A384L0Y4	Q7CHY4	A0A384L0Y4_YERPE	Yersinia pestis	632	688	unreviewed
A0A384LCK9	Q7CG07	A0A384LCK9_YERPE	Yersinia pestis	632	375	unreviewed
A0A384KBL5	Q7CG19	A0A384KBL5_YERPE	Yersinia pestis	632	315	unreviewed
A0A384KTM2	Q7CH41	A0A384KTM2_YERPE	Yersinia pestis	632	426	unreviewed
Q8D078	Q8D078	Q8D078_YERPE	Yersinia pestis	632	486	unreviewed
Q8D0K7	Q8D0K7	Q8D0K7_YERPE	Yersinia pestis	632	349	unreviewed
Q0WII9	Q7CGW1	Q0WII9_YERPE	Yersinia pestis	632	792	unreviewed
O68776	O68776	O68776_YERPE	Yersinia pestis	632	365	unreviewed
Q8CZJ9	Q8CZJ9	Q8CZJ9_YERPE	Yersinia pestis	632	777	unreviewed
A0A384KVM3	Q7CGH6	A0A384KVM3_YERPE	Yersinia pestis	632	631	unreviewed
Q0WC33	Q7CK71	Q0WC33_YERPE	Yersinia pestis	632	217	unreviewed
A0A384LJK5	Q7CFP8	A0A384LJK5_YERPE	Yersinia pestis	632	184	unreviewed
A0A384LK21	Q7CHZ0	A0A384LK21_YERPE	Yersinia pestis	632	138	unreviewed
Q0WK16	Q7CKQ6	Q0WK16_YERPE	Yersinia pestis	632	359	unreviewed
A0A384LN38	Q7CG92	A0A384LN38_YERPE	Yersinia pestis	632	503	unreviewed
Q8D0V0	Q8D0V0	Q8D0V0_YERPE	Yersinia pestis	632	423	unreviewed
Q8CZZ4	Q8CZZ4	Q8CZZ4_YERPE	Yersinia pestis	632	452	unreviewed
A0A0H2W3Z6	Q7CI17	A0A0H2W3Z6_YERPE	Yersinia pestis	632	319	unreviewed
A0A384L6J2	Q7CH71	A0A384L6J2_YERPE	Yersinia pestis	632	236	unreviewed
A0A384LA14	Q7CIA0	A0A384LA14_YERPE	Yersinia pestis	632	363	unreviewed
Q0WAW0	Q7CL80	Q0WAW0_YERPE	Yersinia pestis	632	555	unreviewed
Q0WHG1	Q7CHB7	Q0WHG1_YERPE	Yersinia pestis	632	198	unreviewed
Q0WFU6	Q7CI05	Q0WFU6_YERPE	Yersinia pestis	632	253	unreviewed
Q8CZU8	Q8CZU8	Q8CZU8_YERPE	Yersinia pestis	632	745	unreviewed
A0A0H2W3C2	Q7CH91	A0A0H2W3C2_YERPE	Yersinia pestis	632	480	unreviewed
Q8CLN8	Q8CLN8	Q8CLN8_YERPE	Yersinia pestis	632	373	unreviewed
A0A384KW77	Q7CHY3	A0A384KW77_YERPE	Yersinia pestis	632	554	unreviewed
A0A384KDI8	Q7CJ67	A0A384KDI8_YERPE	Yersinia pestis	632	247	unreviewed
A0A384LHY7	Q7CK63	A0A384LHY7_YERPE	Yersinia pestis	632	315	unreviewed
A0A384LA47	Q7CHZ9	A0A384LA47_YERPE	Yersinia pestis	632	466	unreviewed
Q8CZM5	Q8CZM5	Q8CZM5_YERPE	Yersinia pestis	632	477	unreviewed
A0A384KIW1	Q7CJH7	A0A384KIW1_YERPE	Yersinia pestis	632	759	unreviewed
A0A384KHX2	Q7CJU9	A0A384KHX2_YERPE	Yersinia pestis	632	305	unreviewed
Q8CKI2	Q8CKI2	Q8CKI2_YERPE	Yersinia pestis	632	308	unreviewed
Q8CKF8	Q8CKF8	Q8CKF8_YERPE	Yersinia pestis	632	170	unreviewed
Q8CL08	Q8CL08	Q8CL08_YERPE	Yersinia pestis	632	637	unreviewed
A0A384KY07	Q7CL30	A0A384KY07_YERPE	Yersinia pestis	632	265	unreviewed
A0A384KJE6	Q7CHK6	A0A384KJE6_YERPE	Yersinia pestis	632	370	unreviewed
A0A384KMS8	Q7CL07	A0A384KMS8_YERPE	Yersinia pestis	632	318	unreviewed
A0A384LFS3	Q7CH00	A0A384LFS3_YERPE	Yersinia pestis	632	962	unreviewed
A0A384LQ43	Q7CGB3	A0A384LQ43_YERPE	Yersinia pestis	632	383	unreviewed
Q0WHT4	Q7CH44	Q0WHT4_YERPE	Yersinia pestis	632	588	unreviewed
A0A0H2W0U8	Q7CLC1	A0A0H2W0U8_YERPE	Yersinia pestis	632	458	unreviewed
A0A384L3F5	Q7CJG1	A0A384L3F5_YERPE	Yersinia pestis	632	227	unreviewed
Q0WD65	Q7CJK1	Q0WD65_YERPE	Yersinia pestis	632	749	unreviewed
Q8CLE5	Q8CLE5	Q8CLE5_YERPE	Yersinia pestis	632	356	unreviewed
A0A384KXD1	Q7CKK6	A0A384KXD1_YERPE	Yersinia pestis	632	443	unreviewed
A0A384KVB8	Q7CG96	A0A384KVB8_YERPE	Yersinia pestis	632	867	unreviewed
Q7CGD3	Q7CGD3	Q7CGD3_YERPE	Yersinia pestis	632	499	unreviewed
A0A384KQ75	Q7CK96	A0A384KQ75_YERPE	Yersinia pestis	632	188	unreviewed
Q7CHE1	Q7CHE1	Q7CHE1_YERPE	Yersinia pestis	632	321	unreviewed
Q8D1R3	Q8D1R3	Q8D1R3_YERPE	Yersinia pestis	632	472	unreviewed
A0A0H2W7Y4	Q7CGD4	A0A0H2W7Y4_YERPE	Yersinia pestis	632	577	unreviewed
Q0WD93	Q7CJX7	Q0WD93_YERPE	Yersinia pestis	632	542	unreviewed
Q8D097	Q8D097	Q8D097_YERPE	Yersinia pestis	632	683	unreviewed
Q8D1P8	Q8D1P8	Q8D1P8_YERPE	Yersinia pestis	632	774	unreviewed
A0A384KKB9	Q7CGN6	A0A384KKB9_YERPE	Yersinia pestis	632	726	unreviewed
A0A0H2W7V7	Q7CGN1	A0A0H2W7V7_YERPE	Yersinia pestis	632	1039	unreviewed
A0A384KXS9	Q7CKQ3	A0A384KXS9_YERPE	Yersinia pestis	632	151	unreviewed
A0A384L768	Q7CJC9	A0A384L768_YERPE	Yersinia pestis	632	449	unreviewed
Q0WJR3	Q7CG39	Q0WJR3_YERPE	Yersinia pestis	632	348	unreviewed
Q8CKC4	Q8CKC4	Q8CKC4_YERPE	Yersinia pestis	632	393	unreviewed
A0A384KUP3	Q9R8C5	A0A384KUP3_YERPE	Yersinia pestis	632	264	unreviewed
Q8CLY1	Q8CLY1	Q8CLY1_YERPE	Yersinia pestis	632	169	unreviewed
Q74YJ4	Q74YJ4	Q74YJ4_YERPE	Yersinia pestis	632	89	unreviewed
E7E564	E7E564	E7E564_YERPE	Yersinia pestis	632	88	unreviewed
Q9ZGX5	Q9ZGX5	Q9ZGX5_YERPE	Yersinia pestis	632	142	unreviewed
A0A384KUT4	E7E583	A0A384KUT4_YERPE	Yersinia pestis	632	261	unreviewed
Q74YH2	Q74YH2	Q74YH2_YERPE	Yersinia pestis	632	175	unreviewed
A0A384LJP6	E7E597	A0A384LJP6_YERPE	Yersinia pestis	632	146	unreviewed
Q9X6B7	Q9X6B7	Q9X6B7_YERPE	Yersinia pestis	632	256	unreviewed
A0A384LBB3	E7E570	A0A384LBB3_YERPE	Yersinia pestis	632	165	unreviewed
A0A384LJI1	E7E585	A0A384LJI1_YERPE	Yersinia pestis	632	217	unreviewed
A0A384KVM2	Q74YG7	A0A384KVM2_YERPE	Yersinia pestis	632	77	unreviewed
E7E569	E7E569	E7E569_YERPE	Yersinia pestis	632	115	unreviewed
A0A384KDC1	Q74YL6	A0A384KDC1_YERPE	Yersinia pestis	632	90	unreviewed
A0A384LGY7	E7E526	A0A384LGY7_YERPE	Yersinia pestis	632	130	unreviewed
A0A384L710	E7E587	A0A384L710_YERPE	Yersinia pestis	632	455	unreviewed
A0A384KPU4	E7E596	A0A384KPU4_YERPE	Yersinia pestis	632	704	unreviewed
E7E586	E7E586	E7E586_YERPE	Yersinia pestis	632	307	unreviewed
A0A384L0H2	E7E582	A0A384L0H2_YERPE	Yersinia pestis	632	354	unreviewed
A0A384KTN2	Q74YF9	A0A384KTN2_YERPE	Yersinia pestis	632	587	unreviewed
Q9X6B6	Q9X6B6	Q9X6B6_YERPE	Yersinia pestis	632	823	unreviewed
E7E568	E7E568	E7E568_YERPE	Yersinia pestis	632	244	unreviewed
Q5NGC3	Q5NGC3	RLMKL_FRATT	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	177416	717	reviewed
Q81VT8	Q81VT8	RPOB_BACAN	Bacillus anthracis	1392	1177	reviewed
